Winner,Loser,Winner_Score,Loser_Score
plyr. German DR,plyr. Uruguay,2,0
plyr. DR Congo,plyr. Togo,3,0
plyr. Jamaica,plyr. Cuba,2,0
plyr. Ivory Coast,plyr. DR Congo,2,0
plyr. Jamaica,plyr. Curaçao,2,0
plyr. Netherlands,plyr. Israel,1,0
plyr. Curaçao,plyr. Cuba,1,0
plyr. DR Congo,plyr. Congo,3,0
plyr. Cuba,plyr. Jamaica,2,1
plyr. Costa Rica,plyr. Suriname,1,0
plyr. Ethiopia,plyr. Uganda,2,1
plyr. Costa Rica,plyr. Trinidad and Tobago,1,0
plyr. Senegal,plyr. Guinea,2,0
plyr. Mexico,plyr. Honduras,1,0
plyr. Costa Rica,plyr. Suriname,3,1
plyr. Mexico,plyr. Honduras,3,0
plyr. Costa Rica,plyr. Trinidad and Tobago,1,0
plyr. Costa Rica,plyr. Curaçao,2,1
plyr. Nicaragua,plyr. Honduras,2,0
plyr. Morocco,plyr. Kuwait,2,0
plyr. Mexico,plyr. United States,2,0
plyr. El Salvador,plyr. Honduras,3,1
plyr. Paraguay,plyr. Guatemala,3,0
plyr. Japan,plyr. Hong Kong,2,1
plyr. Costa Rica,plyr. Paraguay,1,0
plyr. United States,plyr. Honduras,1,0
plyr. Northern Ireland,plyr. Netherlands,2,1
plyr. Libya,plyr. Morocco,1,0
plyr. Cyprus,plyr. Lebanon,2,0
plyr. Austria,plyr. France,2,1
plyr. Belgium,plyr. Republic of Ireland,2,0
plyr. Sudan,plyr. Ethiopia,2,1
plyr. Mexico,plyr. El Salvador,2,0
plyr. Guatemala,plyr. Haiti,3,0
plyr. Costa Rica,plyr. Haiti,3,1
plyr. Guinea,plyr. Senegal,3,1
plyr. Paraguay,plyr. Peru,1,0
plyr. Mexico,plyr. Haiti,3,0
plyr. Guatemala,plyr. Curaçao,3,2
plyr. El Salvador,plyr. Costa Rica,2,1
plyr. Switzerland,plyr. Albania,2,0
plyr. Mexico,plyr. Guatemala,2,1
plyr. El Salvador,plyr. Haiti,3,1
plyr. Ethiopia,plyr. Uganda,2,0
plyr. Ethiopia,plyr. Sudan,1,0
plyr. Senegal,plyr. Mali,2,0
plyr. Yugoslavia,plyr. France,1,0
plyr. Portugal,plyr. Turkey,1,0
plyr. Portugal,plyr. Czechoslovakia,1,0
plyr. Paraguay,plyr. Uruguay,2,1
plyr. Chile,plyr. Peru,1,0
plyr. Sudan,plyr. Uganda,3,1
plyr. Tunisia,plyr. Morocco,1,0
plyr. Romania,plyr. Turkey,3,0
plyr. Switzerland,plyr. Albania,1,0
plyr. Mexico,plyr. Jamaica,3,2
plyr. England,plyr. Hungary,1,0
plyr. Republic of Ireland,plyr. Spain,1,0
plyr. Senegal,plyr. Mali,3,1
plyr. Sweden,plyr. Cyprus,3,0
plyr. Belgium,plyr. Israel,1,0
plyr. England,plyr. Germany,1,0
plyr. Mexico,plyr. Costa Rica,1,0
plyr. Peru,plyr. Venezuela,1,0
plyr. England,plyr. Sweden,2,1
plyr. Turkey,plyr. Iran,2,1
plyr. Mali,plyr. Guinea,2,1
plyr. Russia,plyr. Greece,3,1
plyr. Iran,plyr. Turkey,2,1
plyr. Germany,plyr. Switzerland,1,0
plyr. Scotland,plyr. Finland,2,1
plyr. Ivory Coast,plyr. Liberia,1,0
plyr. Romania,plyr. Czechoslovakia,1,0
plyr. Russia,plyr. Wales,2,1
plyr. Uruguay,plyr. Venezuela,3,1
plyr. Brazil,plyr. Germany,2,0
plyr. Guinea,plyr. Mali,2,1
plyr. Uruguay,plyr. Peru,1,0
plyr. Denmark,plyr. Finland,3,1
plyr. Hungary,plyr. Austria,1,0
plyr. Uruguay,plyr. Peru,2,1
plyr. Portugal,plyr. Romania,2,1
plyr. Norway,plyr. Yugoslavia,3,0
plyr. Brazil,plyr. Algeria,3,0
plyr. Denmark,plyr. Sweden,2,1
plyr. Italy,plyr. Finland,2,0
plyr. Hungary,plyr. Italy,2,1
plyr. Brazil,plyr. Sweden,2,1
plyr. Brazil,plyr. Russia,3,0
plyr. Denmark,plyr. Iceland,3,1
plyr. Argentina,plyr. Chile,1,0
plyr. Congo,plyr. Uganda,2,1
plyr. Togo,plyr. Mali,2,1
plyr. Ivory Coast,plyr. Algeria,1,0
plyr. Ecuador,plyr. Colombia,1,0
plyr. Turkey,plyr. Pakistan,3,1
plyr. Mali,plyr. Congo,2,1
plyr. Algeria,plyr. Madagascar,1,0
plyr. Mali,plyr. Algeria,2,1
plyr. Congo,plyr. Ivory Coast,1,0
plyr. Ecuador,plyr. Colombia,2,0
plyr. Paraguay,plyr. Bolivia,2,0
plyr. Ivory Coast,plyr. Algeria,2,0
plyr. Togo,plyr. Madagascar,1,0
plyr. Argentina,plyr. Paraguay,3,0
plyr. China PR,plyr. Indonesia,3,0
plyr. North Korea,plyr. North Vietnam,1,0
plyr. Guinea,plyr. Indonesia,3,1
plyr. North Korea,plyr. China PR,3,0
plyr. North Vietnam,plyr. Guinea,2,1
plyr. China PR,plyr. Cambodia,3,1
plyr. Colombia,plyr. Chile,2,0
plyr. North Korea,plyr. Guinea,3,0
plyr. North Korea,plyr. Indonesia,3,0
plyr. China PR,plyr. Guinea,2,0
plyr. Indonesia,plyr. North Vietnam,2,1
plyr. Thailand,plyr. South Korea,3,2
plyr. Liberia,plyr. DR Congo,2,1
plyr. Vietnam Republic,plyr. Hong Kong,2,1
plyr. South Korea,plyr. Malaysia,2,0
plyr. Taiwan,plyr. Thailand,3,2
plyr. Japan,plyr. Myanmar,3,1
plyr. India,plyr. Malaysia,3,0
plyr. Bolivia,plyr. Paraguay,2,1
plyr. Chile,plyr. Ecuador,3,1
plyr. South Korea,plyr. India,1,0
plyr. Hong Kong,plyr. Malaysia,3,1
plyr. Myanmar,plyr. Taiwan,3,1
plyr. South Korea,plyr. Hong Kong,1,0
plyr. India,plyr. Vietnam Republic,2,0
plyr. Japan,plyr. Vietnam Republic,2,1
plyr. Argentina,plyr. Bolivia,2,1
plyr. India,plyr. Singapore,2,1
plyr. Bulgaria,plyr. German DR,3,2
plyr. Hungary,plyr. Austria,3,0
plyr. Brazil,plyr. Uruguay,3,0
plyr. New Caledonia,plyr. Tahiti,2,1
plyr. Kenya,plyr. Zambia,3,2
plyr. France,plyr. Norway,1,0
plyr. Czechoslovakia,plyr. Romania,3,1
plyr. Zambia,plyr. Kenya,3,2
plyr. DR Congo,plyr. Liberia,3,2
plyr. Bulgaria,plyr. Belgium,3,0
plyr. Tanzania,plyr. Kenya,2,0
plyr. Germany,plyr. Sweden,2,1
plyr. Finland,plyr. Poland,2,0
plyr. Tanzania,plyr. Zanzibar,3,0
plyr. Northern Ireland,plyr. Scotland,3,2
plyr. France,plyr. Yugoslavia,1,0
plyr. Hungary,plyr. German DR,3,2
plyr. Chile,plyr. Ecuador,2,1
plyr. Poland,plyr. Scotland,2,1
plyr. Congo,plyr. Ghana,2,1
plyr. Russia,plyr. Denmark,3,1
plyr. Austria,plyr. England,3,2
plyr. Ghana,plyr. Congo,2,1
plyr. Turkey,plyr. Romania,2,1
plyr. Wales,plyr. Russia,2,1
plyr. German DR,plyr. Austria,1,0
plyr. Ghana,plyr. Nigeria,3,0
plyr. Scotland,plyr. Italy,1,0
plyr. England,plyr. Northern Ireland,2,1
plyr. Spain,plyr. Republic of Ireland,1,0
plyr. Ivory Coast,plyr. DR Congo,3,0
plyr. Switzerland,plyr. Netherlands,2,1
plyr. Czechoslovakia,plyr. Turkey,3,1
plyr. Dominica,plyr. Grenada,2,0
plyr. Bulgaria,plyr. Israel,2,1
plyr. Ivory Coast,plyr. Senegal,1,0
plyr. Romania,plyr. Portugal,2,0
plyr. Ghana,plyr. Tunisia,3,2
plyr. Saint Lucia,plyr. Saint Vincent and the Grenadines,2,1
plyr. Ivory Coast,plyr. Congo,1,0
plyr. Dominica,plyr. Saint Lucia,1,0
plyr. North Korea,plyr. Australia,3,1
plyr. Mali,plyr. Ivory Coast,3,1
plyr. Saint Vincent and the Grenadines,plyr. Dominica,3,1
plyr. Hong Kong,plyr. Australia,1,0
plyr. Australia,plyr. Taiwan,3,1
plyr. Russia,plyr. Uruguay,3,1
plyr. Singapore,plyr. Hong Kong,2,1
plyr. Italy,plyr. Scotland,3,0
plyr. Australia,plyr. Malaysia,1,0
plyr. Australia,plyr. Malaysia,3,0
plyr. England,plyr. Spain,2,0
plyr. Benin,plyr. Nigeria,1,0
plyr. Thailand,plyr. Vietnam Republic,2,1
plyr. Myanmar,plyr. Singapore,1,0
plyr. Thailand,plyr. Vietnam Republic,2,0
plyr. Myanmar,plyr. Malaysia,2,0
plyr. Vietnam Republic,plyr. Malaysia,2,0
plyr. Jamaica,plyr. Bermuda,3,0
plyr. Bulgaria,plyr. Belgium,2,1
plyr. Panama,plyr. Nicaragua,3,1
plyr. Malta,plyr. Libya,1,0
plyr. Russia,plyr. Chile,2,0
plyr. England,plyr. Germany,1,0
plyr. Nigeria,plyr. Benin,2,1
plyr. Niger,plyr. DR Congo,2,1
plyr. Guatemala,plyr. Panama,1,0
plyr. Kenya,plyr. Uganda,3,2
plyr. Morocco,plyr. Algeria,1,0
plyr. Iraq,plyr. Libya,2,0
plyr. Morocco,plyr. Iraq,1,0
plyr. Morocco,plyr. Iraq,2,1
plyr. Panama,plyr. El Salvador,1,0
plyr. Malta,plyr. Libya,1,0
plyr. Russia,plyr. Montenegro,1,0
plyr. Iraq,plyr. Kuwait,3,1
plyr. Iraq,plyr. Jordan,2,1
plyr. Lebanon,plyr. Kuwait,2,1
plyr. Lebanon,plyr. Jordan,2,1
plyr. Syria,plyr. Palestine,3,1
plyr. Iraq,plyr. Libya,3,1
plyr. Syria,plyr. Lebanon,1,0
plyr. Iraq,plyr. Syria,2,1
plyr. Brazil,plyr. Chile,1,0
plyr. Netherlands,plyr. Belgium,3,1
plyr. Chile,plyr. Brazil,2,1
plyr. Belgium,plyr. France,3,0
plyr. Russia,plyr. Austria,1,0
plyr. Togo,plyr. Benin,1,0
plyr. England,plyr. Yugoslavia,2,0
plyr. Germany,plyr. Northern Ireland,2,0
plyr. Israel,plyr. Finland,3,0
plyr. Yugoslavia,plyr. Hungary,2,0
plyr. Guernsey,plyr. Jersey,3,1
plyr. Mexico,plyr. Chile,1,0
plyr. Netherlands,plyr. Scotland,3,0
plyr. Brazil,plyr. Wales,3,1
plyr. Brazil,plyr. Wales,1,0
plyr. Russia,plyr. Czechoslovakia,2,1
plyr. Uruguay,plyr. Paraguay,3,1
plyr. Brazil,plyr. Chile,1,0
plyr. Austria,plyr. Republic of Ireland,1,0
plyr. Russia,plyr. Belgium,1,0
plyr. Chile,plyr. Wales,2,0
plyr. Republic of Ireland,plyr. Belgium,3,2
plyr. Mexico,plyr. Chile,1,0
plyr. Germany,plyr. Romania,1,0
plyr. Bulgaria,plyr. Yugoslavia,2,0
plyr. Finland,plyr. Sweden,1,0
plyr. Hungary,plyr. Switzerland,3,1
plyr. Brazil,plyr. Poland,2,1
plyr. Brazil,plyr. Peru,3,1
plyr. Trinidad and Tobago,plyr. Suriname,3,2
plyr. Haiti,plyr. Guadeloupe,3,0
plyr. Brazil,plyr. Czechoslovakia,2,1
plyr. Trinidad and Tobago,plyr. Curaçao,1,0
plyr. Uruguay,plyr. Israel,2,1
plyr. Haiti,plyr. Curaçao,3,0
plyr. Haiti,plyr. Trinidad and Tobago,1,0
plyr. Italy,plyr. Austria,1,0
plyr. Portugal,plyr. Scotland,1,0
plyr. Romania,plyr. Uruguay,1,0
plyr. Guadeloupe,plyr. Trinidad and Tobago,2,1
plyr. Portugal,plyr. Denmark,3,1
plyr. Haiti,plyr. Jamaica,3,0
plyr. Italy,plyr. Argentina,3,0
plyr. Germany,plyr. Yugoslavia,2,0
plyr. Norway,plyr. Denmark,1,0
plyr. England,plyr. Finland,3,0
plyr. Portugal,plyr. Uruguay,3,0
plyr. Ghana,plyr. DR Congo,3,0
plyr. Brazil,plyr. Sweden,3,2
plyr. England,plyr. Denmark,2,0
plyr. Portugal,plyr. Romania,1,0
plyr. Zambia,plyr. Malawi,3,0
plyr. Zambia,plyr. Madagascar,3,0
plyr. England,plyr. Poland,1,0
plyr. Brazil,plyr. Bulgaria,2,0
plyr. Russia,plyr. North Korea,3,0
plyr. Argentina,plyr. Spain,2,1
plyr. Italy,plyr. Chile,2,0
plyr. Portugal,plyr. Hungary,3,1
plyr. Hungary,plyr. Brazil,3,1
plyr. Uruguay,plyr. France,2,1
plyr. Spain,plyr. Switzerland,2,1
plyr. Portugal,plyr. Bulgaria,3,0
plyr. England,plyr. Mexico,2,0
plyr. Russia,plyr. Italy,1,0
plyr. Sudan,plyr. Uganda,2,1
plyr. Argentina,plyr. Switzerland,2,0
plyr. Portugal,plyr. Brazil,3,1
plyr. North Korea,plyr. Italy,1,0
plyr. Hungary,plyr. Bulgaria,3,1
plyr. Russia,plyr. Chile,2,1
plyr. England,plyr. France,2,0
plyr. Germany,plyr. Spain,2,1
plyr. England,plyr. Argentina,1,0
plyr. Russia,plyr. Hungary,2,1
plyr. Germany,plyr. Russia,2,1
plyr. England,plyr. Portugal,2,1
plyr. Portugal,plyr. Russia,2,1
plyr. Congo,plyr. Cameroon,3,2
plyr. India,plyr. Hong Kong,2,0
plyr. South Korea,plyr. Japan,2,0
plyr. Taiwan,plyr. Thailand,2,1
plyr. Ivory Coast,plyr. Togo,2,1
plyr. Myanmar,plyr. Thailand,3,0
plyr. Vietnam Republic,plyr. Taiwan,3,0
plyr. India,plyr. Japan,3,0
plyr. South Korea,plyr. Hong Kong,1,0
plyr. Vietnam Republic,plyr. Singapore,2,1
plyr. South Korea,plyr. Thailand,2,1
plyr. Myanmar,plyr. Hong Kong,2,0
plyr. Singapore,plyr. India,1,0
plyr. Vietnam Republic,plyr. Japan,2,0
plyr. Myanmar,plyr. South Korea,2,0
plyr. India,plyr. Taiwan,1,0
plyr. Malaysia,plyr. Hong Kong,1,0
plyr. Japan,plyr. Singapore,1,0
plyr. India,plyr. Vietnam Republic,1,0
plyr. South Korea,plyr. Malaysia,2,1
plyr. Vietnam Republic,plyr. Myanmar,1,0
plyr. India,plyr. South Korea,1,0
